CONDACT,DESOCUP,DESOCUP,INACTIVO,INACTIVO,INACTIVO,INACTIVO,INACTIVO,INACTIVO,OCUPADO,OCUPADO,OCUPADO,OCUPADO
CAT_OCUP,Cta Propia,Obrero,,,,,,,Cta Propia,Obrero,,Patron
CAT_INAC,,,,Jubilado,Estudiante,Ama de casa,Otros,Rentista,,,,
area_0,,,,,,,,,,,,
san nicolas,,4.099619956335409,,19.713754346244038,6.654807148055308,8.191153877253983,,,5.061858170938788,54.73437373655697,,
san pedro,,4.3112297269554505,,19.154177786902075,5.337712995278177,7.431738862656538,,,5.5635393143091765,56.08704578115377,,
san vicente,,4.495813614852566,,16.345103749544958,6.607207863123407,9.04623225336731,,,4.204586821987623,57.60829996359665,,
tandil,,3.667845838763731,,18.35784770061441,5.911375907652206,5.641407559113759,,,5.7251908396946565,59.18823310370508,,
tigre,,4.3399109261727515,,13.130262345177336,5.354182243750203,7.151913136764084,0.594909138194467,,4.8567991937843376,63.77230909268229,,
trenque lauquen,,,,18.025078369905955,5.982236154649947,6.609195402298851,,,6.138975966562174,59.71786833855799,,
tres arroyos,,3.287027978869106,,19.702602230483272,5.14576403834866,5.947955390334572,,,6.202308745842301,58.3056153394639,,
tres de febrero,,3.576581110551921,,19.714812950847172,4.703908740144271,6.119778560644187,0.42610300285187047,,6.596208689817145,58.06072806576078,,
veinticinco de mayo,,,,24.878048780487806,4.943089430894309,7.869918699186992,,,5.8861788617886175,52.260162601626014,,
vicente lopez,,2.6378994504376143,,18.92937105638103,5.275798900875229,3.5986159169550174,0.6554040301241604,,6.065540403012416,61.5347038469367,,0.6024832078159984
villa gesell,,3.993231810490694,,16.6497461928934,4.500846023688664,8.934010152284264,,,5.177664974619289,58.34179357021996,,
villarino,,4.769230769230769,,18.076923076923077,6.538461538461538,8.73076923076923,,,6.461538461538462,53.61538461538461,,
zarate,,3.095714436137728,,17.2896704222386,5.443824365589133,9.150257976203012,,,5.391176160892914,58.039380857112775,,
