,,Ingresos (basado en EPH),Ingresos (basado en EPH),Ingresos (basado en EPH),Ingresos (basado en EPH)
lomas de zamora,00589,7480,11870,17530,20900
lomas de zamora,00590,8290,13000,19070,37800
lomas de zamora,00591,8210,13630,20840,15700
lomas de zamora,00592,8050,13570,18890,7300
lomas de zamora,00593,6870,11420,16390,23600
lomas de zamora,0590A,6620,10290,14980,44600
lomas de zamora,0593A,7340,11720,17460,11500
lujan,00596,7700,13600,20130,67000
lujan,00597,5860,10480,18380,300
lujan,00598,7130,11460,18650,4500
lujan,00599,7330,11340,17540,6900
lujan,00600,5510,9070,13520,2500
lujan,00601,6620,12190,17540,800
lujan,00602,7390,11090,17460,4800
lujan,00603,6100,9210,13070,1800
malvinas argentinas,00399,6660,10090,14610,71000
malvinas argentinas,0399A,6600,10450,15260,36000
malvinas argentinas,0399B,6730,10640,16280,29100
malvinas argentinas,0399C,6070,8950,14100,1700
malvinas argentinas,0399D,7260,11300,16530,30000
malvinas argentinas,0399E,7160,10920,15830,20400
malvinas argentinas,0399F,7450,11610,16930,53800
malvinas argentinas,0399G,5830,9080,13350,20400
mar chiquita,00619,6380,10340,16210,7600
mar chiquita,00620,6570,13150,19400,2900
mar chiquita,00621,10780,15310,18590,100
mar chiquita,00622,4980,10380,16890,1800
mar chiquita,0621A,22330,28130,28130,0
mar chiquita,0622A,8080,12260,18200,9200
mar chiquita,0622B,7140,13010,19560,1700
marcos paz,00624,5810,9540,14930,43400
marcos paz,0624A,3830,8080,11440,400
mercedes,00638,7650,13300,19410,25600
mercedes,00639,5730,9420,14790,5600
mercedes,00640,6290,10180,16010,8400
mercedes,00641,8310,12600,17790,2400
mercedes,00642,6760,11970,17270,8200
mercedes,00643,4990,9310,12650,1800
mercedes,00644,7050,10300,18490,900
mercedes,00645,6250,11160,16580,200
mercedes,00646,5840,9240,13280,400
mercedes,00647,8070,11590,15030,200
mercedes,00648,6890,10340,19510,200
merlo,00652,7090,11870,17390,67700
merlo,00653,6440,9920,14400,68000
merlo,00654,5860,9280,12860,31900
merlo,00655,7550,12330,18310,53200
merlo,0652A,6060,9700,14400,139000
merlo,0655A,5940,9120,12970,54400
moreno,00663,7340,12520,18510,49800
moreno,00664,6890,10950,17580,24100
moreno,0663A,6600,10620,16040,50800
moreno,0663B,5940,9150,13410,53600
moreno,0663C,5960,9360,13440,84000
moreno,0663D,5990,9260,13470,32400
moreno,0664A,6150,9670,14720,28100
moreno,0664B,6250,9960,14550,28300
moron,00665,7600,12290,17570,104900
moron,00669,8850,14570,20760,37300
moron,00670,9480,15160,21830,12000
moron,00671,7640,12130,17300,47000
moron,00672,8690,14210,21350,34800
moron,00673,7840,12230,17720,43600
necochea,00686,6630,12360,17990,62800
necochea,00687,6420,9800,14020,2000
necochea,00688,5010,9380,14280,600
necochea,00691,6990,11000,15340,2700
necochea,00692,5460,8620,11620,600
necochea,0686A,5770,10020,16050,14700
necochea,0691A,100,100,100,0
nueve de julio,00696,6830,11700,18010,32600
nueve de julio,00697,9040,10700,14280,200
nueve de julio,00698,8140,10620,14630,700
nueve de julio,00699,8670,11570,14290,800
nueve de julio,00700,6310,9660,12810,600
nueve de julio,00701,5750,9860,14410,500
nueve de julio,00703,7750,11740,18460,1800
nueve de julio,00704,10050,13450,54690,0
nueve de julio,00705,6980,11940,14500,100
nueve de julio,00706,5910,11010,17150,2300
nueve de julio,00707,6190,8210,17160,400
nueve de julio,00708,8880,11930,15510,100
nueve de julio,00709,7560,10500,11880,300
nueve de julio,0701A,15710,16510,17320,0
nueve de julio,0705A,7600,9530,13880,400
olavarria,00711,8800,14460,20830,13700
olavarria,00712,5670,8180,10940,200
olavarria,00713,7000,7000,7000,0
olavarria,00714,7520,11370,17960,1000
olavarria,00715,7100,10990,16490,3500
olavarria,00716,4340,9490,15090,2300
olavarria,00717,6150,10170,14240,3500
olavarria,00718,4310,8270,14080,500
olavarria,00719,7260,11520,16060,3300
olavarria,00720,6540,10000,17960,100
olavarria,00721,1640,4160,13790,0
olavarria,00722,7040,7040,7040,0
olavarria,00723,3080,8210,14900,300
olavarria,00724,13550,15650,17760,0
olavarria,00725,6680,8480,14840,200
olavarria,00726,23640,23640,23640,0
olavarria,0711A,7330,12990,18820,7600
olavarria,0711B,7490,12320,18620,9100
olavarria,0711C,7110,11470,16930,14300
olavarria,0711D,7000,11840,16900,19200
olavarria,0711E,6750,11220,16760,15700
olavarria,0718A,2470,2970,4120,0
olavarria,0719A,10400,12530,16840,0
olavarria,0723A,9720,11260,15040,100
patagones,00729,7290,12210,17970,19400
patagones,00730,6420,12330,15980,100
patagones,00731,5750,10080,14340,2200
patagones,00732,5410,10050,15050,3900
patagones,00733,2440,10490,15960,900
patagones,0731A,6680,9740,17450,600
pehuajo,00734,6910,11600,17010,28600
pehuajo,00735,6570,9200,14070,200
pehuajo,00736,6890,9470,16240,200
pehuajo,00738,6690,11420,15130,1400
pehuajo,00739,6610,9900,13790,2000
pehuajo,00740,2970,10240,18750,300
pehuajo,00741,6690,9990,13600,1700
pehuajo,0734A,2690,6460,12000,100
pehuajo,0738A,3680,6640,7430,0
pergamino,00747,7440,10920,27300,200
pergamino,00748,8210,13380,19260,17300
pergamino,00749,7330,9440,13520,1100
pergamino,00750,10340,15070,18050,0
pergamino,00751,6180,10380,15530,1500
pergamino,00752,4290,11660,14750,200
pergamino,00753,6340,10000,14300,1200
pergamino,00754,8880,11610,18040,500
pergamino,00755,6990,10400,13570,800
pergamino,00756,7690,11200,16170,1000
pergamino,00757,6310,9190,12070,0
pergamino,00758,7840,10310,16120,700
pergamino,00759,8970,12540,16110,800
pergamino,0747A,7010,9820,13340,300
pergamino,0748A,6520,10600,15900,16800
pergamino,0748B,7100,11480,17680,15600
pergamino,0748C,6970,10870,16310,15000
pergamino,0748D,7120,11480,16740,15400
pergamino,0753A,13100,16890,18350,0
pergamino,0754A,3990,8540,13610,900
pilar,00768,6660,10480,15790,77400
pilar,00769,7020,11520,18540,9000
pilar,00770,6240,9950,14760,46400
pilar,00771,6610,10560,16080,69500
pilar,00772,6650,10480,16170,28000
pilar,0770A,7220,11430,20030,10800
pinamar,00339,7400,13160,19550,12700
pinamar,0339A,6690,10930,15910,10800
pinamar,0339B,7020,10900,18050,3500
pinamar,0339C,9290,16230,26280,500
presidente peron,00304,5900,9470,13750,17700
presidente peron,0304A,5830,9440,13500,31000
presidente peron,0304B,5900,9390,14030,13000
presidente peron,0304C,6730,9540,14020,3500
quilmes,00783,9240,15190,23650,20600
quilmes,00784,8120,13400,19260,24400
quilmes,00785,8310,13930,20190,41000
quilmes,00786,6630,10520,16040,21400
quilmes,00787,7950,13690,19870,14800
quilmes,00788,6030,9150,13360,33200
quilmes,00791,7860,13100,18260,20400
quilmes,0783A,5840,9020,13430,13800
quilmes,0785A,7440,12150,17960,21400
quilmes,0785B,6870,11010,16060,44700
quilmes,0786A,6510,10740,16150,15400
quilmes,0787A,8990,14530,20730,30000
quilmes,0788A,6030,9900,14530,53500
quilmes,0788B,6580,10060,14810,28800
quilmes,0788C,5800,9090,13520,32000
quilmes,0791A,5680,10120,15760,28800
quilmes,0791B,6470,10990,16510,31300
ramallo,00797,5330,10110,15680,11800
ramallo,00798,1410,10950,16270,10000
ramallo,00800,6000,8770,13980,1400
ramallo,00801,5630,10040,14810,100
ramallo,00802,4380,8680,12980,0
ramallo,00803,5960,9800,15280,3900
ramallo,00804,4230,7070,11020,600
saladillo,00846,6710,11170,16510,24600
saladillo,00847,6330,8760,12010,400
saladillo,00848,10040,17440,24270,100
saladillo,00849,5860,9930,14010,1200
saladillo,00850,6920,10570,15290,400
saladillo,00851,7890,7990,9700,100
saladillo,00852,6150,9370,13360,200
saladillo,0849A,8130,11210,15360,500
salto,00854,6460,10620,16450,24700
salto,00855,6950,9780,14050,1700
salto,00856,7270,11960,15880,600
salto,00857,5790,10320,14440,1000
salto,00858,6030,8650,12880,200
salto,0855A,11020,11020,18320,100
salto,0857A,7310,8430,9280,0
salto,0857B,6710,8060,9070,100
san fernando,00872,9220,14910,21070,10000
san fernando,00873,7440,13120,20380,3400
san fernando,00874,6680,12080,18840,2400
san fernando,00875,8210,13960,18840,1700
san fernando,00876,6510,10800,18100,2200
san fernando,00877,6960,10810,16150,18500
san fernando,00878,6740,11010,15850,20200
san fernando,00879,7770,12490,17800,17900
san fernando,00880,8580,15270,23990,15800
san fernando,00881,7970,11690,17380,800
san fernando,00882,8430,10720,15130,400
san fernando,0878A,5840,10100,15660,14000
san fernando,0879A,6320,10490,16020,20400
san fernando,0880A,6620,12430,18170,2700
san fernando,0882A,7280,10750,16560,1100
san isidro,00887,9040,15210,24590,16800
san isidro,00888,8760,14810,23840,17700
san isidro,00889,7890,13520,20920,26000
san isidro,00890,10500,16390,25390,3000
san isidro,00891,9010,14720,22720,53000
san isidro,00892,7650,12570,18940,70100
san isidro,00893,6950,12490,19680,39400
san isidro,00894,9410,16820,31370,5900
san isidro,00895,10450,18450,35380,19000
san isidro,0892A,7750,13220,19000,34700
san miguel,00397,8150,12940,18690,54500
san miguel,00400,6470,10760,16590,25100
san miguel,00401,6080,12750,17830,6700
san miguel,00402,6250,9800,14830,25600
san miguel,0397A,7000,11120,16030,22100
san miguel,0397B,6380,9820,14290,35000
san miguel,0397C,6400,10170,14960,32400
san miguel,0401A,8730,14170,21800,33800
san nicolas,00901,8680,13830,20490,36900
san nicolas,00902,6980,13280,19340,7500
san nicolas,00903,6370,10100,14870,6600
san nicolas,00904,6240,10290,15380,20200
san nicolas,00905,4670,8390,12850,9700
san nicolas,00906,6460,11040,16840,2500
san nicolas,00907,5630,10530,14190,1300
san nicolas,00908,5280,7370,12520,1200
san nicolas,00909,6670,9770,12760,500
san nicolas,00910,6510,10890,16210,1900
san nicolas,00911,7270,12380,17860,5000
san nicolas,0901A,5970,10020,15430,11500
san nicolas,0901B,7640,12830,18310,18900
san pedro,00913,6300,10390,16440,40400
san pedro,00914,7460,9480,12810,1600
san pedro,00915,6550,10070,16070,900
san pedro,00916,9440,13930,16930,100
san pedro,00917,5540,8260,12400,2500
san pedro,00918,8320,10450,14570,300
san pedro,00919,7240,13800,18180,100
san pedro,00920,6570,8080,12420,600
san pedro,00921,23900,40830,40830,0
san pedro,00922,6580,10530,15070,2200
san pedro,0922A,16640,16640,16640,0
san vicente,00924,6090,11020,16980,23000
san vicente,00925,5700,10530,15850,29700
san vicente,00926,5330,9350,14950,2300
san vicente,00927,1700,6610,7290,0
tandil,00933,6810,12040,18220,104100
tandil,00934,5210,15870,18940,200
tandil,00935,10300,12980,17150,100
tandil,00936,8750,15500,20440,0
tandil,00937,5690,9460,14130,2000
tandil,00938,9570,12980,17270,200
tandil,00939,9610,11560,17330,100
tandil,00940,6150,10670,17800,700
tigre,00530,6850,10950,16610,66500
tigre,00533,7310,12760,18140,5400
tigre,00534,6900,11260,17840,34500
tigre,00535,6730,10780,16730,44300
tigre,00536,6580,10530,16270,38600
tigre,0534A,7280,11580,17090,58000
tigre,0535A,6480,10440,15440,55900
tigre,0536A,8000,12180,19520,4500
trenque lauquen,00957,6100,11750,18150,32500
trenque lauquen,00958,5920,11120,16700,900
trenque lauquen,00959,11310,11310,11310,0
trenque lauquen,00960,15980,18920,22730,0
trenque lauquen,00961,6390,10270,17440,4800
trenque lauquen,0961A,7860,8120,17570,0
trenque lauquen,0961B,11540,11570,11600,0
trenque lauquen,0961C,16900,22400,27890,0
tres arroyos,00964,6520,11510,17700,44500
tres arroyos,00968,7880,10010,22890,0
tres arroyos,00969,7360,10170,15230,600
tres arroyos,00970,12960,15930,17180,100
tres arroyos,00972,6170,9150,14070,2200
tres arroyos,00973,5520,9840,18840,500
tres arroyos,00974,12000,12000,12000,0
tres arroyos,00975,5820,10200,14850,1100
tres arroyos,00977,14160,17100,20040,0
tres arroyos,0973A,5980,11060,16990,1600
tres arroyos,0975A,10400,10550,10740,100
tres arroyos,0975B,4440,10340,14380,400
tres de febrero,00389,9420,14310,20160,14100
tres de febrero,00390,8460,14480,19530,17500
tres de febrero,00391,8010,13270,18680,82800
tres de febrero,00392,6420,10350,15370,10100
tres de febrero,00393,7530,12770,18190,57600
tres de febrero,00394,7170,11680,16920,51900
tres de febrero,00395,7700,12160,17580,49500
tres de febrero,0394A,9390,15470,23010,14600
veinticinco de mayo,00980,6500,10980,16420,22000
veinticinco de mayo,00981,8400,10810,18380,100
veinticinco de mayo,00982,8590,11060,12340,100
veinticinco de mayo,00983,6610,10250,14920,4400
veinticinco de mayo,00984,7390,10520,15920,1600
veinticinco de mayo,00985,8290,9270,16400,400
veinticinco de mayo,00986,14250,17490,29160,100
veinticinco de mayo,00987,14480,14580,15020,100
veinticinco de mayo,00988,5360,10230,13210,800
veinticinco de mayo,00989,6210,9020,12620,300
veinticinco de mayo,00990,7240,11030,14980,300
veinticinco de mayo,00991,7340,12680,16210,600
vicente lopez,00993,9730,15400,24550,26700
vicente lopez,00994,11310,18560,31690,12700
vicente lopez,00995,9680,15780,25260,21500
vicente lopez,00996,9290,15110,23560,25800
vicente lopez,00997,9870,16140,26430,10900
vicente lopez,00998,9410,15280,22940,16900
vicente lopez,00999,8660,13340,19470,36800
vicente lopez,01000,8790,13850,19810,49800
vicente lopez,01001,8570,14190,20580,44600
villa gesell,00344,6580,11230,17260,29600
villarino,01007,6590,11140,15640,6200
villarino,01008,7010,11500,15520,2000
villarino,01009,6300,7530,10540,200
villarino,01010,5320,8650,14180,4600
villarino,01011,5840,9880,14470,10100
villarino,1011A,6000,9650,14550,2900
zarate,01013,7650,12960,19520,22000
zarate,01014,6150,10020,16000,24700
zarate,01015,7580,12650,18140,6900
zarate,01016,6390,10780,16000,3300
zarate,01017,5240,8580,13660,19300
zarate,01018,7260,11200,16840,8800
zarate,01019,5180,9340,13880,400
zarate,01020,6790,6980,13500,0
zarate,01021,4810,8950,14610,9400
zarate,1013A,13390,16130,24660,200
