,,ELECTORES,ELECTORES,ELECTORES,VOTANTES,VOTANTES,VOTANTES,CAMBIEMOS,CAMBIEMOS,CAMBIEMOS,ALIANZA FRENTE PARA LA VICTORIA,UNIDAD CIUDADANA,UNIDAD CIUDADANA,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),1PAIS,1PAIS,VOTOS BLANCOS,VOTOS BLANCOS,VOTOS BLANCOS,FRENTE JUSTICIALISTA,FRENTE JUSTICIALISTA,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES
,,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,DN_2015,paso_2017,DN_2017,paso_2017,DN_2017,paso_2017,DN_2017,DN_2015
area_0,area_1,,,,,,,,,,,,,,,,,,,,,,,
Resto 6a Seccion,puan,14299.0,14433.0,14433.0,11025.0,9669.0,10388.0,6116.0,5569.0,6853.0,2447.0,1416.0,1549.0,1113.0,1263.0,1116.0,1170.0,433.0,345.0,425.0,397.0,399.0,543.0,271.0
Resto 6a Seccion,saavedra,17678.0,18272.0,18253.0,13754.0,13468.0,13750.0,5215.0,6567.0,7281.0,4015.0,2973.0,3248.0,1953.0,1852.0,1641.0,1194.0,516.0,432.0,518.0,430.0,268.0,414.0,300.0
Resto 6a Seccion,salliquelo,7363.0,7768.0,7761.0,6103.0,5895.0,6068.0,2680.0,2731.0,3093.0,1839.0,1285.0,1482.0,570.0,490.0,374.0,858.0,992.0,875.0,200.0,116.0,35.0,71.0,48.0
Resto 6a Seccion,tornquist,11422.0,12945.0,12929.0,9377.0,9643.0,9704.0,4127.0,4362.0,5101.0,2616.0,1282.0,1303.0,1092.0,1097.0,976.0,872.0,417.0,339.0,1650.0,1547.0,304.0,385.0,276.0
Resto 6a Seccion,tres lomas,6405.0,6236.0,6580.0,5219.0,4728.0,5331.0,1751.0,1650.0,2262.0,2207.0,1740.0,2003.0,450.0,540.0,452.0,900.0,437.0,377.0,85.0,84.0,59.0,104.0,70.0
Resto 7a Seccion,general alvear,7895.0,8476.0,8462.0,6753.0,6417.0,6714.0,2853.0,2911.0,3583.0,1908.0,1047.0,1346.0,476.0,713.0,634.0,1109.0,632.0,486.0,867.0,510.0,48.0,108.0,62.0
Resto 7a Seccion,roque perez,9682.0,10650.0,10286.0,7703.0,7886.0,8057.0,2735.0,3717.0,4000.0,2505.0,2101.0,2215.0,1432.0,1530.0,1185.0,920.0,435.0,348.0,213.0,229.0,71.0,148.0,126.0
Resto 7a Seccion,tapalque,8108.0,8359.0,8343.0,6417.0,6413.0,6496.0,2447.0,2190.0,2729.0,2494.0,2043.0,2340.0,838.0,1235.0,1100.0,834.0,322.0,334.0,177.0,129.0,40.0,89.0,63.0
almirante brown,00017,25836.0,25331.0,25333.0,20200.0,18285.0,19025.0,10605.0,10667.0,12108.0,3864.0,3289.0,3653.0,2550.0,1904.0,1369.0,599.0,429.0,256.0,768.0,717.0,738.0,1148.0,1044.0
almirante brown,00018,29026.0,30637.0,31342.0,22508.0,23098.0,24672.0,7098.0,7443.0,9203.0,7946.0,8137.0,9289.0,4250.0,3333.0,2500.0,1414.0,797.0,521.0,1443.0,1441.0,1062.0,1571.0,1236.0
almirante brown,00019,84327.0,93277.0,96646.0,62828.0,62566.0,70248.0,15423.0,15768.0,21358.0,26412.0,26087.0,30495.0,13075.0,9880.0,7201.0,4826.0,2757.0,1974.0,4270.0,4232.0,3018.0,4533.0,3477.0
almirante brown,00020,35298.0,33466.0,33819.0,27388.0,24512.0,26356.0,8824.0,8245.0,10357.0,9202.0,7727.0,8865.0,5354.0,3697.0,2738.0,1556.0,907.0,583.0,1373.0,1364.0,1093.0,1680.0,1551.0
almirante brown,00021,53069.0,54779.0,54779.0,42373.0,42884.0,44235.0,9998.0,11021.0,13748.0,16267.0,16636.0,18628.0,8862.0,6874.0,5003.0,3469.0,2026.0,1339.0,2357.0,2290.0,2100.0,2859.0,2397.0
almirante brown,00022,34930.0,37495.0,40771.0,26288.0,24535.0,27904.0,6172.0,5669.0,8197.0,10290.0,9710.0,11799.0,5439.0,3925.0,3035.0,2069.0,1232.0,961.0,1438.0,1534.0,1104.0,1790.0,1339.0
almirante brown,0018A,48810.0,50607.0,52010.0,36873.0,38433.0,41241.0,7025.0,7189.0,9918.0,20050.0,19164.0,22215.0,7830.0,5696.0,3982.0,3368.0,1759.0,1243.0,2450.0,2411.0,1428.0,2023.0,1612.0
almirante brown,0020A,27308.0,27544.0,26498.0,21734.0,20187.0,20796.0,4242.0,4108.0,5336.0,10548.0,9481.0,10403.0,4499.0,3546.0,2423.0,1724.0,960.0,589.0,1373.0,1245.0,823.0,1159.0,921.0
almirante brown,0021A,12135.0,12168.0,13222.0,8824.0,8929.0,10214.0,1728.0,1593.0,2379.0,4283.0,4344.0,5270.0,1913.0,1465.0,1131.0,917.0,511.0,318.0,624.0,650.0,340.0,559.0,433.0
almirante brown,0022A,52690.0,49344.0,53036.0,40083.0,34032.0,39953.0,9301.0,8087.0,12018.0,16958.0,14536.0,18066.0,8649.0,5432.0,4030.0,3215.0,1743.0,1162.0,2427.0,2661.0,1451.0,2356.0,2103.0
almirante brown,0022B,16180.0,14593.0,15643.0,11325.0,9779.0,12329.0,2202.0,2197.0,3258.0,5479.0,4747.0,6109.0,2238.0,1625.0,1159.0,862.0,523.0,316.0,752.0,752.0,425.0,642.0,499.0
avellaneda,00023,16251.0,16987.0,16981.0,11141.0,11052.0,11587.0,4472.0,4408.0,5475.0,2956.0,3085.0,3404.0,1488.0,1247.0,870.0,429.0,247.0,168.0,374.0,349.0,432.0,706.0,620.0
avellaneda,00024,9818.0,10418.0,10413.0,7710.0,7577.0,8086.0,3155.0,3185.0,3933.0,2235.0,2422.0,2652.0,1088.0,1025.0,753.0,330.0,203.0,158.0,361.0,276.0,333.0,520.0,465.0
avellaneda,00025,10411.0,8412.0,11327.0,8134.0,6154.0,8564.0,2318.0,1776.0,2991.0,3451.0,2740.0,4071.0,1465.0,871.0,805.0,486.0,193.0,152.0,238.0,291.0,225.0,463.0,383.0
avellaneda,00026,4930.0,4470.0,5168.0,3308.0,3010.0,3870.0,310.0,291.0,445.0,2661.0,2109.0,2862.0,370.0,216.0,185.0,359.0,225.0,133.0,87.0,131.0,47.0,105.0,102.0
avellaneda,00027,22622.0,23770.0,23759.0,16006.0,15967.0,17091.0,3329.0,3329.0,4198.0,7756.0,8055.0,8926.0,2868.0,2111.0,1554.0,1061.0,579.0,393.0,584.0,657.0,519.0,734.0,703.0
avellaneda,00030,7259.0,5791.0,6138.0,5156.0,4456.0,4879.0,1775.0,1694.0,2170.0,1564.0,1379.0,1620.0,916.0,634.0,431.0,235.0,112.0,97.0,172.0,173.0,227.0,347.0,286.0
avellaneda,00031,1343.0,2463.0,2462.0,1105.0,1302.0,1476.0,405.0,394.0,477.0,302.0,291.0,327.0,216.0,169.0,113.0,54.0,28.0,43.0,36.0,35.0,42.0,70.0,59.0
avellaneda,00032,4120.0,4189.0,4187.0,3171.0,3322.0,3412.0,1005.0,938.0,1200.0,1301.0,1267.0,1413.0,665.0,544.0,367.0,213.0,80.0,74.0,161.0,136.0,129.0,206.0,177.0
avellaneda,00033,11998.0,11869.0,11864.0,8634.0,9101.0,9607.0,4016.0,3863.0,4647.0,2489.0,2419.0,2753.0,1772.0,1440.0,1019.0,362.0,201.0,138.0,356.0,332.0,437.0,664.0,609.0
